FIPS_Code,State,Area_Name,Attribute,Value
1001,AL,Autauga County,Rural_Urban_Continuum_Code_2023,2
1001,AL,Autauga County,Urban_Influence_Code_2013,2
1001,AL,Autauga County,Metro_2023,1
1001,AL,Autauga County,Civilian_labor_force_2000,21861
1001,AL,Autauga County,Employed_2000,20971
1001,AL,Autauga County,Unemployed_2000,890
1001,AL,Autauga County,Unemployment_rate_2000,4.1
1001,AL,Autauga County,Civilian_labor_force_2001,22081
1001,AL,Autauga County,Employed_2001,21166
1001,AL,Autauga County,Unemployed_2001,915
1001,AL,Autauga County,Unemployment_rate_2001,4.1
1001,AL,Autauga County,Civilian_labor_force_2002,22161
1001,AL,Autauga County,Employed_2002,21096
1001,AL,Autauga County,Unemployed_2002,1065
1001,AL,Autauga County,Unemployment_rate_2002,4.8
1001,AL,Autauga County,Civilian_labor_force_2003,22695
1001,AL,Autauga County,Employed_2003,21557
1001,AL,Autauga County,Unemployed_2003,1138
1001,AL,Autauga County,Unemployment_rate_2003,5
1001,AL,Autauga County,Civilian_labor_force_2004,23241
1001,AL,Autauga County,Employed_2004,22146
1001,AL,Autauga County,Unemployed_2004,1095
1001,AL,Autauga County,Unemployment_rate_2004,4.7
1001,AL,Autauga County,Civilian_labor_force_2005,23887
1001,AL,Autauga County,Employed_2005,22986
1001,AL,Autauga County,Unemployed_2005,901
1001,AL,Autauga County,Unemployment_rate_2005,3.8
1001,AL,Autauga County,Civilian_labor_force_2006,24425
1001,AL,Autauga County,Employed_2006,23619
1001,AL,Autauga County,Unemployed_2006,806
1001,AL,Autauga County,Unemployment_rate_2006,3.3
1001,AL,Autauga County,Civilian_labor_force_2007,24434
1001,AL,Autauga County,Employed_2007,23610
1001,AL,Autauga County,Unemployed_2007,824
1001,AL,Autauga County,Unemployment_rate_2007,3.4
1001,AL,Autauga County,Civilian_labor_force_2008,24687
1001,AL,Autauga County,Employed_2008,23376
1001,AL,Autauga County,Unemployed_2008,1311
1001,AL,Autauga County,Unemployment_rate_2008,5.3
1001,AL,Autauga County,Civilian_labor_force_2009,24660
1001,AL,Autauga County,Employed_2009,22464
1001,AL,Autauga County,Unemployed_2009,2196
1001,AL,Autauga County,Unemployment_rate_2009,8.9
1001,AL,Autauga County,Civilian_labor_force_2010,25749
1001,AL,Autauga County,Employed_2010,23481
1001,AL,Autauga County,Unemployed_2010,2268
1001,AL,Autauga County,Unemployment_rate_2010,8.8
1001,AL,Autauga County,Civilian_labor_force_2011,25845
1001,AL,Autauga County,Employed_2011,23688
1001,AL,Autauga County,Unemployed_2011,2157
1001,AL,Autauga County,Unemployment_rate_2011,8.3
1001,AL,Autauga County,Civilian_labor_force_2012,25762
1001,AL,Autauga County,Employed_2012,23932
1001,AL,Autauga County,Unemployed_2012,1830
1001,AL,Autauga County,Unemployment_rate_2012,7.1
1001,AL,Autauga County,Civilian_labor_force_2013,25783
1001,AL,Autauga County,Employed_2013,24155
1001,AL,Autauga County,Unemployed_2013,1628
1001,AL,Autauga County,Unemployment_rate_2013,6.3
1001,AL,Autauga County,Civilian_labor_force_2014,25639
1001,AL,Autauga County,Employed_2014,24150
1001,AL,Autauga County,Unemployed_2014,1489
1001,AL,Autauga County,Unemployment_rate_2014,5.8
1001,AL,Autauga County,Civilian_labor_force_2015,25541
1001,AL,Autauga County,Employed_2015,24206
1001,AL,Autauga County,Unemployed_2015,1335
1001,AL,Autauga County,Unemployment_rate_2015,5.2
1001,AL,Autauga County,Civilian_labor_force_2016,25710
1001,AL,Autauga County,Employed_2016,24395
1001,AL,Autauga County,Unemployed_2016,1315
1001,AL,Autauga County,Unemployment_rate_2016,5.1
1001,AL,Autauga County,Civilian_labor_force_2017,26269
1001,AL,Autauga County,Employed_2017,25224
1001,AL,Autauga County,Unemployed_2017,1045
1001,AL,Autauga County,Unemployment_rate_2017,4
1001,AL,Autauga County,Civilian_labor_force_2018,26471
1001,AL,Autauga County,Employed_2018,25515
1001,AL,Autauga County,Unemployed_2018,956
1001,AL,Autauga County,Unemployment_rate_2018,3.6
1001,AL,Autauga County,Civilian_labor_force_2019,26683
1001,AL,Autauga County,Employed_2019,25914
